SHA	AuthorDate	Type	Scope	Subject	Systems	Trees	Files
7a06dfd71	2026-07-04	feat	gui	feat(gui): Implement user option to scale the game window transition speed (#2840)		Core;GeneralsMD	9
4eda82d7f	2026-07-02	bugfix	pointgroup	bugfix(pointgroup): Render ground-aligned particles without sorting (#2838)		Core	1
717952018	2026-07-01	fix	textureloader	fix(textureloader): Simplify and fix faulty implementations of texture reduction (2) (#2814)		Core	1
6a19b8bcc	2026-06-30	bugfix	heightmap	bugfix(heightmap): Reduce ray cast lengths and fix ray casting in BaseHeightMapRenderObjClass::Cast_Ray (#2836)	ZH-04	Core	2
c7ee26a7a	2026-06-23	bugfix	mouse	bugfix(mouse): Fix bad drag tolerances with high scroll speed factors (#2826)		Core	6
d932dff9a	2026-06-23	chore	basetype	chore(basetype): Add addition and subtraction functions to Coord2D, Coord3D, ICoord2D, ICoord3D (#2826)		Core	1
f7d680fa2	2026-06-29	refactor	selectionxlat	refactor(selectionxlat): Split switch cases of SelectionTranslator::translateGameMessage into separate functions (#2819)		Core	2
f03f2fad7	2026-06-29	build		build: Fix compile error in Smudge.h with docker-build (#2701)		Core	1
46607a90d	2026-06-28	refactor	basetype	refactor(basetype): Refactor functions of Coord3D, Region3D to take reference instead of pointer (#2830)	ZH-02;ZH-04;ZH-06;ZH-10;ZH-12;ZH-15;ZH-17;ZH-18;ZH-19;ZH-24	Core;GeneralsMD	107
124daa98a	2026-06-28	tweak	drawable	tweak(drawable): Decouple police car light time step from render update (#2829)	ZH-18	Core	1
a330729c9	2026-06-28	tweak	gui	tweak(gui): Decouple GUI transition and world animation time step from render update (#2056)		Core;GeneralsMD	4
21cc640c9	2026-06-26	bugfix	view	bugfix(view): Fix view ray cast behavior for mouse picks and drawable occlusion (#2818)	ZH-04;ZH-07;ZH-14;ZH-16	Core;GeneralsMD	22
a7447e558	2026-06-24	unify	update	unify(update): Parse template references in the AssistedTargetingUpdate module by name (#2809)		GeneralsMD	4
81fffb33b	2026-06-21	refactor	audio	refactor(audio): Simplify available audio samples management (#2773)		Core	5
7bbd643d0	2026-06-21	unify	messagestream	unify(messagestream): Move all client message translator files to Core (#2805)		Core;GeneralsMD	42
a3cafc33c	2026-06-21	fix	update	fix(update): Fix laser-to-target setup mistake in AssistedTargetingUpdate (#2817)		GeneralsMD	1
b2769b7ac	2026-06-21	chore	sortingrenderer	chore(sortingrenderer): Remove unused function Insert_VolumeParticle (#2816)		Core	2
984db42f3	2026-06-20	refactor	sortingrenderer	refactor(sortingrenderer): Replace custom doubly linked list with std::list in SortingNodeStruct (#2810)		Core	2
a5859177d	2026-06-20	bugfix	logic	bugfix(logic): Restore retail compatibility after change in CountermeasuresBehavior::calculateCountermeasureToDivertTo (#2808)		GeneralsMD	1
e577fad5c	2026-06-19	chore		chore: Prevent conflict between clang-format and MSVC by wrapping inline assembly blocks in curly braces (#2811)		Core	2
8bc892244	2026-06-19	chore		chore: Prevent conflict between clang-format and pre-C++11 nested template parsing (#2760)	ZH-01;ZH-10;ZH-18	Core;GeneralsMD	48
78edd8772	2026-06-19	bugfix	ai	bugfix(ai): Fix bugged unit behavior when attacked during guard mode (#2197)	ZH-24	GeneralsMD	3
82f4b857a	2026-06-18	bugfix	crc	bugfix(crc): Fix spurious mismatches for disconnected players at low CRC intervals (#2796)		GeneralsMD	4
9a9b1c2b2	2026-06-18	bugfix	network	bugfix(network): Improve compare method of command id's to keep network commands in chronological order when overflowing (#2736)		Core;GeneralsMD	5
8207c684b	2026-06-18	bugfix	pathfinder	bugfix(pathfinder): Fix inaccurate single unit movement destinations when unobstructed (#2296)	ZH-24	Core	1
ac112151f	2026-06-13	bugfix	textureloader	bugfix(textureloader): Fix faulty implementations of texture reduction (#2789)		Core	1
9cef3b047	2026-06-13	tweak	textureloader	tweak(textureloader): Remove superfluous texture reduction code from TextureLoadTaskClass::Begin_Uncompressed_Load() (#2789)		Core	1
f8686d627	2026-06-13	refactor	textureloader	refactor(textureloader): Simplify code in Texture Loader (#2789)		Core	1
cfbfe0dc0	2026-06-18	bugfix	textureloader	bugfix(textureloader): Lift hardcoded texture aspect ratio limit of 1:8 to allow loading all textures with modern gpu (#2788)		Core	1
f06f18386	2026-06-18	perf		perf: Reduce cost of retrieving labels from Waypoint and PolygonTrigger by 90% (#2761)	ZH-04;ZH-07	GeneralsMD	11
70c7f0f5e	2026-06-18	unify	selectionxlat	unify(selectionxlat): Merge SelectionXlat (#2792)		GeneralsMD	4
091ab3d47	2026-06-05	unify	commandxlat	unify(commandxlat): Merge CommandXlat and related code from Zero Hour (#2765)		GeneralsMD	11
df54e43c0	2026-06-05	unify	academystats	unify(academystats): Move AcademyStats files to Core and merge related required code (#2765)	ZH-24;ZH-25	Core;GeneralsMD	25
59d4c2963	2026-06-16	feat	options	feat(options): Implement user option to toggle Right Mouse Scroll with Alternate Mouse (#2798)		Core;GeneralsMD	10
d37051f60	2026-06-15	perf	pathfinding	perf(pathfinding): Skip redundant path-exists check in Pathfinder::checkForAdjust() (#2791)	ZH-24	Core	1
61ef3c6f7	2026-06-15	refactor	pathfinder	refactor(pathfinder): Simplify implementation of spiral cell search in Pathfinder::adjustDestination() (#2790)	ZH-24	Core	1
4b0243fd0	2026-06-14	fix	bitflags	fix(bitflags): Use UnsignedInt64 and %I64X to support VC6 compiler in BitFlags.h (#2759)		GeneralsMD	2
a48935d9d	2026-06-13	fix	milesaudiomanager	fix(milesaudiomanager): Fix audio request kill condition in MilesAudioManager::killAudioEventImmediately() (#2784)		Core	1
5d4f669eb	2026-06-11	fix	sortingrenderer	fix(sortingrenderer): Prevent a crash when exceeding the 16-bit index buffer limit (#2783)		Core	1
0e7f686e8	2026-06-08	refactor	gamelogic	refactor(gamelogic): Split switch cases of GameLogic::logicMessageDispatcher into separate functions (#2702)		Core;GeneralsMD	3
a1358a97e	2026-06-06	unify	ww3d2	unify(ww3d2): Move SortingRenderer to Core (#2772)		Core;GeneralsMD	8
deb728c0f	2026-06-06	perf	gamemessage	perf(gamemessage): Replace GameMessageArgument linked lists with vectors (#2700)		Core;GeneralsMD	8
f334383ec	2026-06-05	bugfix	contain	bugfix(contain): Prevent riders from being added to destroyed container object when Reinforcement Pad is destroyed before Troop Crawler drop (#2746)		GeneralsMD	4
7c78a5e17	2026-06-04	refactor	metaevent	refactor(metaevent): Split MetaEventTranslator::translateGameMessage() into smaller functions (#2758)		GeneralsMD	4
a7fad3bb2	2026-05-16	fix	milesaudiomanager	fix(milesaudiomanager): Prevent multithread crashing in MilesAudioManager (#2718)		Core	4
b0becc407	2026-05-16	refactor	milesaudiomanager	refactor(milesaudiomanager): Clean up and simplify MilesAudioManager (#2718)		Core;GeneralsMD	5
df2224bf1	2026-06-03	bugfix	object	bugfix(object): Avoid crash with dangling contain module in Object::onDestroy() when Reinforcement Pad is destroyed before Troop Crawler drop (#2747)		GeneralsMD	4
20f42549c	2026-06-01	fix	memory	fix(memory): Fix various memory leaks (2) (#2710)	ZH-18	Core;GeneralsMD	19
d7f720324	2026-05-30	fix	metaevent	fix(metaevent): Ignore order in which modifier keys are released to trigger meta events (#2577)		Core;GeneralsMD	5
8a06f3536	2026-05-30	unify	message	unify(message): Merge MessageStream, MetaEvent code (#2756)		GeneralsMD	5
cc4a683fd	2026-05-28	bugfix	water	bugfix(water): Fix river visuals in black shroud (#2749)	ZH-07	Core	1
adcf69ed1	2026-05-28	fix	memory	fix(memory): Fix audio event related memory leaks when pausing the game (#2731)		Core	4
92df97751	2026-05-25	fix	particlesys	fix(particlesys): Simplify ParticleSystemManagerDummy setup (#2740)	ZH-10	Core;GeneralsMD	8
9a402fbe2	2026-05-25	fix	particlesys	fix(particlesys): Decouple particle systems from logic crc (#2742)		Core;GeneralsMD	12
bf8d5be02	2026-05-21	bugfix	gameengine	bugfix(gameengine): Fix logic in GameEngine::canUpdateRegularGameLogic() (#2707)		GeneralsMD	4
842c7a532	2026-05-20	fix	recorder	fix(recorder): Fix memory leak of RecorderClass::m_crcInfo (#2713)		GeneralsMD	4
5852010ea	2026-05-20	bugfix	aigroup	bugfix(aigroup): Prevent game crash when a player is selected in Replay playback (2) (#2711)	ZH-24	Core;GeneralsMD	5
c1bce4f5d	2026-05-20	perf	network	perf(network): Replace extern global network variables with const ones (#2726)		Core;GeneralsMD	4
f7ecdb4cc	2026-05-20	refactor	network	refactor(network): Use switch cases in utility functions for network commands (#2725)		Core	2
7cb3c11e7	2026-05-20	fix	particlesys	fix(particlesys): Add or simplify null-checks to createParticleSystem calls (#2724)	ZH-10;ZH-18	Core;GeneralsMD	22
5a4187cea	2026-05-20	fix	network	fix(network): Verify accepted type of incoming game messages (#2708)		Core	3
f8476f04e	2026-05-20	bugfix	physics	bugfix(physics): Prevent building crash damage from dealing damage to other objects (#2723)		GeneralsMD	2
159447416	2026-05-20	bugfix	physics	bugfix(physics): Prevent dead units from repeatedly dealing crash damage on collision with non-buildings (#2204)		GeneralsMD	2
5ef79850b	2026-05-19	fix	gameengine	fix(gameengine): Remove music tracks as prerequisite to initialize the game engine (#2737)		Core;GeneralsMD	6
7dc2632ea	2026-05-19	bugfix		bugfix: Restore retail compatibility after retail behavior flags change (#2727)		GeneralsMD	17
2219f63c8	2026-05-17	refactor	netpacket	refactor(netpacket): Simplify NetPacket functions for packet buffer reads (#2463)		Core	10
8951ad908	2026-05-17	fix	object	fix(object): Prevent crash if Object::m_drawable is a nullptr on save load (#2712)		GeneralsMD	2
44deb0698	2026-05-15	unify	ww3d2	unify(ww3d2): Move dx8fvf, dx8indexbuffer, dx8vertexbuffer to Core (#2706)		Core;GeneralsMD	20
05e518d74	2026-05-14	bugfix	contain	bugfix(contain): Abort containee's AIExitState if its container object dies (#2513)	ZH-24	GeneralsMD	2
c8b5f611c	2026-05-13	chore	gamemessage	chore(gamemessage): Clean up GameMessage::getCommandTypeAsString (#2695)		GeneralsMD	2
e887d0296	2026-05-10	unify	gamelogic	unify(gamelogic): Move most GameLogic System files to Core (#2698)		Core;GeneralsMD	22
6781d5d39	2026-05-10	unify	gamelogic	unify(gamelogic): Merge GameLogicDispatch and related code (#2698)		GeneralsMD	5
e3515afa2	2026-05-10	bugfix	input	bugfix(input): Revert changes to local group creation (#2694)		GeneralsMD	4
b6a60073d	2026-05-09	refactor		refactor: Remove the W3DMPO class to remove clutter and unnecessary vtables (#2607)	ZH-05;ZH-06;ZH-09;ZH-19	Core;GeneralsMD	67
9f0d2fbb0	2026-05-09	refactor		refactor: Split preserve retail behavior flags (#2691)	ZH-16	Core;GeneralsMD	35
f936bdb78	2026-05-07	unify	ww3d2	unify(ww3d2): Merge dx8fvf, dx8indexbuffer, dx8vertexbuffer (#2690)		GeneralsMD	6
0ff66c9f5	2026-05-07	refactor		refactor: Add override keyword to virtual function overrides in Core code (2) (#2603)	ZH-01;ZH-04;ZH-06;ZH-18	Core;GeneralsMD	72
