ID	RoadmapItem	System	Shared	CoreFiles	GeneralsMDFiles	CoreSources	GeneralsMDSources
ZH-11	11	Dynamic-light filtering	GeneralsMD	0	2		GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DDynamicLight.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DDynamicLight.cpp
ZH-12	12	Tracer / beam / projectile render modules	Core	8	0	Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DLaserDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DProjectileStreamDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DRopeDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DTracerDraw.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DLaserDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DProjectileStreamDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DRopeDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTracerDraw.cpp	
ZH-13	13	Debris rendering	Core	2	0	Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DDebrisDraw.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DDebrisDraw.cpp	
ZH-14	14	Shader-manager architecture	Core+GeneralsMD	2	2	Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DShaderManager.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DShaderManager.cpp	GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/shader.cpp;GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/shader.h
ZH-15	15	RTS shroud / fog-of-war	GeneralsMD	0	4		GeneralsMD/Code/GameEngine/Include/GameLogic/PartitionManager.h;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DShroud.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DShroud.cpp
ZH-16	16	Radar system	Core+GeneralsMD	4	2	Core/GameEngine/Include/Common/Radar.h;Core/GameEngine/Source/Common/System/Radar.cpp;Core/GameEngineDevice/Include/W3DDevice/Common/W3DRadar.h;Core/GameEngineDevice/Source/W3DDevice/Common/System/W3DRadar.cpp	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/RadarUpgrade.h;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Upgrade/RadarUpgrade.cpp
ZH-17	17	Waypoint / status-circle renderers	GeneralsMD	0	4		GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DStatusCircle.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DWaypointBuffer.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DStatusCircle.cpp;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3dWaypointBuffer.cpp
ZH-18	18	Modular draw-component architecture	Core+GeneralsMD	24	5	Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DDefaultDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DDependencyModelDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DModelDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DOverlordAircraftDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DOverlordTankDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DOverlordTruckDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DPoliceCarDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DScienceModelDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DSupplyDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DTankDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DTankTruckDraw.h;Core/GameEngineDevice/Include/W3DDevice/GameClient/Module/W3DTruckDraw.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DDefaultDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DDependencyModelDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DOverlordAircraftDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DOverlordTankDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DOverlordTruckDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DPoliceCarDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DScienceModelDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DSupplyDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTankDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTankTruckDraw.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTruckDraw.cpp	GeneralsMD/Code/GameEngine/Include/Common/DrawModule.h;GeneralsMD/Code/GameEngine/Include/GameClient/Drawable.h;GeneralsMD/Code/GameEngine/Include/GameClient/DrawableInfo.h;GeneralsMD/Code/GameEngine/Source/Common/Thing/DrawModule.cpp;GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp
ZH-19	19	Spatial partitioning	Core+GeneralsMD	7	6	Core/Libraries/Source/WWVegas/WW3D2/aabtree.cpp;Core/Libraries/Source/WWVegas/WW3D2/aabtree.h;Core/Libraries/Source/WWVegas/WWAudio/AABTreeSoundCullClass.h;Core/Libraries/Source/WWVegas/WWMath/aabtreecull.cpp;Core/Libraries/Source/WWVegas/WWMath/aabtreecull.h;Core/Tools/WW3D/max2w3d/aabtreebuilder.cpp;Core/Tools/WW3D/max2w3d/aabtreebuilder.h	GeneralsMD/Code/GameEngine/Include/GameLogic/PartitionManager.h;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DScene.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DScene.cpp;GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/aabtreebuilder.cpp;GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/aabtreebuilder.h
ZH-20	20	Debug rendering tools	Core+GeneralsMD	6	4	Core/GameEngine/Include/GameClient/DebugDisplay.h;Core/GameEngine/Include/GameClient/GraphDraw.h;Core/GameEngine/Source/GameClient/GraphDraw.cpp;Core/GameEngine/Source/GameClient/System/DebugDisplay.cpp;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DProfilerFrameCapture.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DProfilerFrameCapture.cpp	GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DDebugDisplay.h;GeneralsMD/Code/GameEngineDevice/Include/W3DDevice/GameClient/W3DDebugIcons.h;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DDebugDisplay.cpp;GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DDebugIcons.cpp
ZH-21	21	Far/background terrain LOD	Core	2	0	Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DTerrainBackground.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DTerrainBackground.cpp	
ZH-22	22	Surface smudge / decal manager	Core	4	0	Core/GameEngine/Include/GameClient/RadiusDecal.h;Core/GameEngine/Source/GameClient/RadiusDecal.cpp;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DSmudge.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DSmudge.cpp	
ZH-23	23	Weather / environment particles	Core	4	0	Core/GameEngine/Include/GameClient/Snow.h;Core/GameEngine/Source/GameClient/Snow.cpp;Core/GameEngineDevice/Include/W3DDevice/GameClient/W3DSnow.h;Core/GameEngineDevice/Source/W3DDevice/GameClient/W3DSnow.cpp	
ZH-24	24	AI state machine / pathfinding / guard	Core+GeneralsMD	2	16	Core/GameEngine/Include/GameLogic/AIPathfind.h;Core/GameEngine/Source/GameLogic/AI/AIPathfind.cpp	GeneralsMD/Code/GameEngine/Include/Common/StateMachine.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AIGuard.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AIGuardRetaliate.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AIPlayer.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AISkirmishPlayer.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AIStateMachine.h;GeneralsMD/Code/GameEngine/Include/GameLogic/AITNGuard.h;GeneralsMD/Code/GameEngine/Source/Common/StateMachine.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AI.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuard.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuardRetaliate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPlayer.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AISkirmishPlayer.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIStates.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AITNGuard.cpp
ZH-25	25	RTS telemetry / statistics instrumentation	Core+GeneralsMD	6	4	Core/GameEngine/Include/Common/AcademyStats.h;Core/GameEngine/Include/GameClient/Statistics.h;Core/GameEngine/Source/Common/RTS/AcademyStats.cpp;Core/GameEngine/Source/GameClient/Statistics.cpp;Core/Libraries/Source/WWVegas/WW3D2/statistics.cpp;Core/Libraries/Source/WWVegas/WW3D2/statistics.h	GeneralsMD/Code/GameEngine/Include/Common/ScoreKeeper.h;GeneralsMD/Code/GameEngine/Include/Common/StatsCollector.h;GeneralsMD/Code/GameEngine/Source/Common/RTS/ScoreKeeper.cpp;GeneralsMD/Code/GameEngine/Source/Common/StatsCollector.cpp
